date,location,new_cases,new_deaths,people_vaccinated,people_fully_vaccinated,vaccination_start_date,period
2020-01-05,Germany,1.0,3.0,,,2020-12-27,pre_vaccination
2020-01-06,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-07,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-08,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-09,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-10,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-11,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-12,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-13,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-14,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-15,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-16,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-17,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-18,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-19,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-20,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-21,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-22,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-23,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-24,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-25,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-26,Germany,1.0,3.0,,,2020-12-27,pre_vaccination
2020-01-27,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-28,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-29,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-30,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-01-31,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-02-01,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
2020-02-02,Germany,9.0,3.0,,,2020-12-27,pre_vaccination
2020-02-03,Germany,0.0,0.0,,,2020-12-27,pre_vaccination
